seqno,hosp_name,tel,extension,mobiletelephone,hosp_addr,service_area,service_item,contact_person,twd97x,twd97y,wgs84ax,wgs84ay
1,景安護理之家,02-2240-9359,,,新北市中和區泰安里景安路42號5樓、46號4-5樓、50號3-4樓,新北市全29區,機構喘息服務,徐若慈,,,,
2,新北市私立宜安老人長期照顧中心(養護型),02-2240-9359,,,新北市中和區泰安里景安路48號7樓,新北市全29區,機構喘息服務,徐若慈,,,,
3,新北市私立桐心老人長期照顧中心(養護型),02-2968-8657,,,新北市板橋區港尾里中正路302號2樓,新北市全29區,機構喘息服務,顏愛倫,,,,
4,新北市私立圓滿老人長期照顧中心(養護型),02-2999-8867,,,新北市三重區中興里重新路五段639號10樓及639-1號10樓,板橋、新莊、三重、蘆洲、泰山、林口、五股、八里,機構喘息服務,陳韋宏,,,,
5,新北市私立愛鄰田園老人長期照顧中心(養護型),02-8677-3288,,,新北市鶯歌區永昌里建國路596巷40號,樹林、三峽、土城、鶯歌,機構喘息服務,廖家宏,,,,
6,海山護理之家,02-2956-2767,,,新北市板橋區長安里漢生東路163號4樓、4樓之1、5樓、5樓之1,新北市全29區,機構喘息服務,郭美靜,,,,
7,新北市私立景頤老人長期照顧中心(養護型),02-2277-2203,,,新北市新莊區思源路87巷18號3樓之1,板橋、樹林、新莊、中和、永和、三重、蘆洲、新店、三峽、土城、泰山、林口、五股、淡水,機構喘息服務,游皓傑,,,,
8,新北市私立中山老人長期照顧中心(養護型),02-2443-8323,,,新北市中和區中原里橋安街6號2~3樓,中和,機構喘息服務,顏世傑,,,,
9,新北市私立福泰老人長期照顧中心(養護型),02-2223-3325,,,新北市中和區碧河里中山路二段371號4樓,板橋、樹林、新莊、中和、永和、三重、蘆洲、新店、三峽、土城、鶯歌、泰山、林口、五股、汐止、淡水、瑞芳,機構喘息服務,顏世傑,,,,
10,新北市私立寶安老人長期照顧中心(養護型),02-8928-1517,,,新北市永和區上林里竹林路73號2~3樓,永和,機構喘息服務,李宜蓁,,,,
11,三芳護理之家,02-2687-6363,,,新北市板橋區崑崙里大觀路三段236號6樓,新北市全29區,機構喘息服務,林英彬,,,,
12,新北市私立蓮愛老人養護中心,02-2989-6770,,,新北市三重區溪美里溪尾街41號2樓,新北市全29區,機構喘息服務,溫世昌,,,,
13,新北市私立宏德老人長期照顧中心(養護型),02-2923-1336,,,新北市永和區協和里永平路81巷12號2樓,永和,機構喘息服務,魏嘉源,,,,
14,新北市私立再芳老人長期照顧中心(養護型),02-2292-3158,,,新北市五股區成泰路四段10號3樓之2,新莊、三重、蘆洲、泰山、林口、五股、淡水、八里、三芝,機構喘息服務,楊茜涵,,,,
15,上和長照社團法人附設新北市私立迎和住宿長照機構,02-8257-0118,,,新北市板橋區忠翠里莒光路167號2樓之9,新北市全29區,機構喘息服務,黃淞玫,,,,
16,新北市私立慈美老人養護中心,02-2246-7727,,,新北市中和區連和里中山路二段315巷2號6樓,新北市全29區,機構喘息服務,李詠偼,,,,
17,新北市私立慈美護理之家,02-2246-7725,,,新北市中和區連和里中山路二段315巷2號4樓、317號6樓,新北市全29區,機構喘息服務,李詠偼,,,,
18,詠靜護理之家,02-2662-8011,,,新北市深坑區萬順里北深路三段99、101、103號3-4樓、105號1、3、4樓,新北市全29區,機構喘息服務,王君傑,,,,
19,新北市私立長勤老人長期照顧中心(養護型),02-2636-6887,,,新北市三芝區埔頭里長勤街63號,新北市全29區,機構喘息服務,黃淑芳,,,,
20,新北市私立捷安護理之家,02-2282-9859,,,新北市蘆洲區中山一路300號,新北市全29區,機構喘息服務,王裕欽,,,,
21,私立再生護理之家,02-2915-0111,,,新北市新店區寶高路6號,板橋、中和、永和、三重、蘆洲、新店、土城、汐止、深坑、烏來、石碇,機構喘息服務,蔣學慈,,,,
22,財團法人台北市私立愛愛院,02-2306-0493,,,台北市萬華區大理街175巷27號,板橋、中和、永和、三重、蘆洲,機構喘息服務,謝蕙如,,,,
23,新北市私立一德老人長期照顧中心(養護型),02-2228-6655,,,新北市中和區中原里中山路二段560號7樓,新北市全29區,機構喘息服務,鍾昭明,,,,
24,基隆市私立順逸老人長期照顧中心(養護型),02-2434-0239,,,基隆市安樂區基金一路210巷58號,金山、萬里、瑞芳,機構喘息服務,夏語緹,,,,
25,新北市私立保安老人長期照顧中心(養護型),02-2686-3810,,,新北市樹林區保安街二段64號4樓,新北市全29區,機構喘息服務,高台興,,,,
26,新北市私立忠祥老人長期照顧中心(養護型),02-2247-3386,,,新北市中和區連和里中山路二段327巷1號4樓,板橋、新莊、中和、永和、新店、土城,機構喘息服務,吳昱陞,,,,
27,新北市私立連旺老人長期照顧中心(養護型),02-8952-0509,,,新北市板橋區香丘里中山路一段311號、313號、315之1號,板橋、樹林、新莊、中和、永和、三重、蘆洲、新店、三峽、土城、鶯歌、泰山、林口、五股、汐止、淡水、八里、雙溪、瑞芳,機構喘息服務,柯𤣹彤,,,,
28,元復醫院附設護理之家,02-2262-0582,,,新北市土城區慶樂街25號,新北市全29區,機構喘息服務,卓玉均,,,,
29,新北市私立雙和老人長期照顧中心(養護型),02-8245-8280,,,新北市中和區福和里中山路二段133號2樓,新北市全29區,機構喘息服務,顏詩庭,,,,
30,新北市私立瑞昇老人長期照顧中心(養護型),02-8967-5498,,,新北市板橋區鄉雲里四川路二段16巷1號1樓,板橋,機構喘息服務,曾莉玲,,,,
31,新北市私立尚承護理之家,02-2291-7171,,,新北市五股區成泰路四段10號3樓之1,新莊、三重、蘆洲、泰山、五股、淡水、八里,機構喘息服務,王聲嫻,,,,
32,桃園市私立八德老人長期照顧中心(養護型),03-218-2128,,,桃園市八德區介壽路一段758巷8號,樹林、三峽、鶯歌,機構喘息服務,宋彩燕,,,,
33,臺北市私立上美老人長期照顧中心(養護型),02-2812-2366,,,台北市士林區重慶北路四段162號1-4樓,新北市全29區,機構喘息服務,李宗勳,,,,
34,新北市私立安新老人長期照顧中心(養護型),02-8671-0158,,,新北市三峽區民生街83號4樓、85號4樓及5樓,新北市全29區,機構喘息服務,賴淑娟,,,,
35,紅樹林護理之家,02-2626-0766,,,新北市淡水區中正東路一段111巷22號,新北市全29區,機構喘息服務,林思伶,,,,
36,百齡診所附設護理之家,02-2811-3113,,,台北市士林區重慶北路四段187號,三重、蘆洲,機構喘息服務,林宜均,,,,
37,新北市私立嘉宥老人長期照顧中心(養護型),02-2688-3267,,,新北市樹林區中正路632巷1號2樓,板橋、樹林、新莊、三峽、土城、鶯歌、泰山、林口,機構喘息服務,簡瑾甄,,,,
38,新北市私立健安老人長期照顧中心(養護型),02-2903-1356,,,新北市新莊區雙鳳路121、123號7樓,板橋、樹林、新莊、中和、永和、三重、蘆洲、新店、三峽、土城、鶯歌、泰山、林口、五股、汐止、淡水,機構喘息服務,廖文義,,,,
39,佳新護理之家,02-8992-4278,,,新北市新莊區復興路三段31號1~4樓及33號3~4樓,板橋、樹林、新莊、中和、永和、三重、蘆洲、新店、三峽、土城、泰山、林口、五股、淡水、八里、三芝,機構喘息服務,蔡佩如,,,,
40,新北市私立永泰老人養護中心,02-2240-9933,,,新北市中和區福和里中山路二段101號,新北市全29區,機構喘息服務,顏詩庭,,,,
41,新北市私立逢源老人長期照顧中心(養護型),02-2245-0139,,,新北市中和區連和里中山路二段327巷9號3樓,新北市全29區,機構喘息服務,周素梅,,,,
42,新北市私立長恩老人長期照顧中心(養護型),02-2201-3158,,,新北市新莊區中正路387、389、393號4樓,新北市全29區,機構喘息服務,吳待芬,,,,
43,三和護理之家,02-2287-2000,,,新北市三重區福隆里三和路四段103之2號4、6~7樓,新北市全29區,機構喘息服務,李淑華,,,,
44,佳醫護理之家,02-8648-6672,,,新北市汐止區茄苳里茄苳路296號,新北市全29區,機構喘息服務,陳品芳,,,,
45,新北市私立大眾老人養護中心,02-2260-2532,,,新北市土城區清水路114號2樓,板橋、樹林、新莊、中和、永和、三重、蘆洲、新店、三峽、土城、鶯歌、泰山、林口、五股、淡水、八里,機構喘息服務,王堉仁,,,,
46,新北市私立木新居護理之家,02-2274-0855,,,新北市土城區清水路114號3-5樓,板橋、樹林、新莊、中和、永和、三重、蘆洲、新店、三峽、土城、鶯歌、泰山、林口、五股、淡水、八里,機構喘息服務,黃湘勻,,,,
47,新北市私立珍珍老人長期照顧中心(養護型),02-2998-1530,,,新北市新莊區化成路354號3樓,新北市全29區,機構喘息服務,鍾奇靜,,,,
48,新北市私立永瑞老人長期照顧中心(養護型),02-2994-2910,,,新北市新莊區化成路354號4樓,新北市全29區,機構喘息服務,黃郭純,,,,
49,新北市私立佳康老人長期照顧中心(養護型),02-2908-3466,,,新北市新莊區雙鳳路113號4樓,板橋、樹林、新莊、中和、永和、三重、蘆洲、土城、泰山、林口、五股,機構喘息服務,彭淑珍,,,,
50,臺北市私立中山老人長期照顧中心(養護型),02-2375-9590,,,台北市萬華區峨眉街124、124-1號1樓,板橋、中和、三重、淡水,機構喘息服務,趙芬蘭,,,,
51,新北市私立佳緣老人長期照顧中心(養護型),02-2670-7278,,,新北市鶯歌區西鶯里中山路41號,新北市全29區,機構喘息服務,洪佳暉,,,,
52,新北市私立慧心老人長期照顧中心(養護型),02-2956-7230,,,新北市板橋區廣福里廣權路2號2樓,新北市全29區,機構喘息服務,朱冠宇,,,,
53,新北市私立心田老人長期照顧中心(養護型),02-8951-1426,,,新北市板橋區廣福里廣權路2號3樓,新北市全29區,機構喘息服務,朱冠宇,,,,
54,慈馨護理之家,02-2952-4388,,,新北市板橋區後埔里館前東路96號2樓,新北市全29區,機構喘息服務,紀靖茹,,,,
55,新北市私立德馨老人長期照顧中心(養護型),02-2647-1288,,,新北市汐止區仁德里和平街8號5樓,汐止,機構喘息服務,陳盈君,,,,
56,新北市私立新明厚老人長期照顧中心(養護型),02-2629-7281,,,新北市淡水區中正東路一段27號1樓,新北市全29區,機構喘息服務,張秀謂,,,,
57,基隆市私立志心老人長期照顧中心(養護型),02-2432-3059,,,基隆市安樂區樂利三街189、193號,汐止,機構喘息服務,黃浚滕,,,,
58,基隆市私立健安老人長期照顧中心(養護型),02-2422-9001,,,基隆市中正區義二路2巷13號3樓,汐止,機構喘息服務,吳欣霖,,,,
59,基隆市私立宏安老人長期照顧中心(養護型),02-2455-3517,,,基隆市七堵區東新街91號2樓,汐止,機構喘息服務,謝豐州,,,,
60,基隆市私立深美老人長期照顧中心(養護型),02-2468-5311,,,基隆市信義區教忠街37號,汐止,機構喘息服務,鍾振豊,,,,
61,新北市私立鴻祥老人長期照顧中心(養護型),"02-8967-7439
02-8967-5401",,,新北市板橋區鄉雲里四川路二段16巷9號8樓,新北市全29區,機構喘息服務,涂琦珍,,,,
62,新北市私立同心老人長期照顧中心(養護型),02-2267-9979,,,新北市土城區中央路四段127號9-10樓、9樓之1-11樓之1,新北市全29區,機構喘息服務,黃曉寶,,,,
63,私立健安護理之家,02-2272-1166,,,新北市板橋區漢生里民權路174號,新北市全29區,機構喘息服務,劉念娟,,,,
64,新北市私立松樹老人長期照顧中心(養護型),02-2682-3334,,,新北市板橋區崑崙里大觀路三段236號7樓之1,板橋、樹林、新莊、中和、永和、三重、蘆洲、土城,機構喘息服務,李怡禎,,,,
65,新北市私立松林老人長期照顧中心(養護型),02-2682-4116,,,新北市板橋區崑崙里大觀路三段236號7樓之2,板橋、樹林、新莊、中和、永和、三重、蘆洲、土城,機構喘息服務,李怡禎,,,,
66,新北市私立松和老人長期照顧中心(養護型),02-2682-3337,,,新北市板橋區崑崙里大觀路三段236號7樓,板橋、樹林、新莊、中和、永和、三重、蘆洲、土城,機構喘息服務,李湛博,,,,
67,松和護理之家,02-2682-3337,,,新北市板橋區崑崙里大觀路三段236號7樓之3,板橋、樹林、新莊、中和、永和、三重、蘆洲、土城,機構喘息服務,莊麗珊,,,,
68,景美醫院附設護理之家,02-2933-2962,,,台北市文山區萬慶街18號3~4樓,板橋、中和、永和、三重、蘆洲、新店、土城,機構喘息服務,劉勻菁,,,,
69,私立健生護理之家,02-2263-1588,,,新北市土城區中華路一段14號,新北市全29區,機構喘息服務,林育良,,,,
70,兆興護理之家,02-2999-8760,,,新北市三重區中興里中興北街19巷2號,新莊、三重、蘆洲,機構喘息服務,鄭金英,,,,
71,祥蕙護理之家,02-2964-6585,,,新北市板橋區和平里廣和街100號、100號2樓至5樓、102號,新北市全29區,機構喘息服務,李季芳,,,,
72,新北市私立祥逸老人長期照顧中心(養護型),02-8245-3559,,,新北市中和區福善里景平路726-8號、726-6號2樓之1~3,新北市全29區,機構喘息服務,李季芳,,,,
73,財團法人豐榮護理之家,02-2212-2345,,,新北市新店區安德街60巷26號、28號、30號及26號2樓、3樓、3樓之1,新北市全29區,機構喘息服務,王雅萍,,,,
74,新北市私立安濟老人長期照顧中心(養護型),02-2695-1800,,,新北市汐止區環河里福德一路351巷11弄18號2樓,汐止,機構喘息服務,孫宇瑩,,,,
75,新北市私立大德老人長期照顧中心(養護型),02-2287-0555,,,新北市三重區福隆里三和路四段103-1號4樓,新北市全29區,機構喘息服務,吳怡蒨,,,,
76,私立大愛護理之家,02-2287-0889,,,新北市三重區福隆里三和路四段103-1號1~3樓,新北市全29區,機構喘息服務,吳怡蒨,,,,
77,新北市私立崇惠老人長期照顧中心(養護型),02-8626-8833,,,新北市淡水區淡金路16巷117號,新北市全29區,機構喘息服務,吳承諺,,,,
78,新北市私立永順老人養護中心,02-3234-0828,,,新北市中和區平河里建康路2號5樓,新北市全29區,機構喘息服務,蘇芷嫻,,,,
79,新北市私立智英老人長期照護中心,02-2908-5498,,,新北市新莊區中正路544之36號1樓,板橋、新莊、三重、蘆洲、泰山、五股,機構喘息服務,賴政顥,,,,
80,新北市私立中英老人養護中心,02-2908-5498,,,新北市新莊區中正路544之36號2樓,板橋、新莊、三重、蘆洲、泰山、五股,機構喘息服務,賴政顥,,,,
81,新北市私立傅英老人長期照顧中心(養護型),02-2908-5498,,,新北市新莊區中正路544之36號3樓,板橋、新莊、三重、蘆洲、泰山、五股,機構喘息服務,賴政顥,,,,
