seqno,hosp_name,tel,extension,mobiletelephone,hosp_addr,service_area,service_item,contact_person,twd97x,twd97y,wgs84ax,wgs84ay
82,新北市私立仁英老人養護中心,02-2908-5498,,,新北市新莊區中正路544之36號4樓,板橋、新莊、三重、蘆洲、泰山、五股,機構喘息服務,賴政顥,,,,
83,鴻欣護理之家,02-2674-0396,,,新北市三峽區三樹路168巷48號,板橋、樹林、新莊、中和、永和、三重、蘆洲、新店、三峽、土城、鶯歌、泰山、林口、五股,機構喘息服務,劉智盛,,,,
84,宏十字護理之家,02-2662-6893,,,新北市深坑區萬順里北深路三段99、101、103、105號7-8樓,新北市全29區,機構喘息服務,張麗英,,,,
85,財團法人新北市私立馨園老人養護中心,02-2498-9331,,,新北市萬里區磺潭里公舘崙23之1號,新北市全29區,機構喘息服務,江彥輝,,,,
86,同仁醫院附設土城護理之家,02-2267-3230,,,新北市土城區中央路四段127號1~8樓、2樓之1~8樓之1,新北市全29區,機構喘息服務,鄭學慧,,,,
87,天主教耕莘醫療財團法人附設耕莘護理之家,"02-2219-3391
#65332",,,新北市新店區中正路362號C棟1-2樓,新店,機構喘息服務,方玉燕,,,,
88,新北市私立老吾老護理之家,02-2202-0118,65332,,新北市新莊區新樹路315巷1號1~3樓,板橋、樹林、新莊、中和、三重、蘆洲、三峽、土城、鶯歌、泰山、林口、五股,機構喘息服務,吳秀蘭,,,,
89,新北市私立家安老人長期照顧中心(養護型),02-8992-0125,,,新北市新莊區思源路119號2樓、117號(2層)、119號2樓、121號2樓、123號2樓,新北市全29區,機構喘息服務,劉先舉,,,,
90,新北市私立好家園老人長期照顧中心(養護型),02-2692-6777,,,新北市汐止區興福里福德路38號2樓,新北市全29區,機構喘息服務,李質穎,,,,
91,新北市私立美麗家園老人長期照顧中心(養護型),02-2692-1238,,,新北市汐止區興福里福德路38號7樓,新北市全29區,機構喘息服務,王宇文,,,,
92,新北市私立幸福家園老人長期照顧中心(養護型),02-2693-4325,,,新北市汐止區興福里福德路38號12樓,新北市全29區,機構喘息服務,李倩穎,,,,
93,新北市私立安怡老人長期照顧中心(養護型),02-2228-7623,,,新北市中和區碧河里建一路87號3樓,新北市全29區,機構喘息服務,李倩穎,,,,
94,溫昕護理之家,02-2219-0259,,,新北市新店區中正路539-3號3~5樓,新北市全29區,機構喘息服務,施菊香,,,,
95,桃園市私立松林老人長期照顧中心(長期照護型),03-328-8001,,,桃園市龜山區復興北路6巷42號,板橋、樹林、新莊、三重、蘆洲、泰山、林口、五股,機構喘息服務,蔡珮僥,,,,
96,松林護理之家,03-318-0999,,,桃園市龜山區復興北路6巷46號,新北市全29區,機構喘息服務,簡慧足,,,,
97,新北市私立連城老人長期照顧中心(養護型),02-2247-9996,,,新北市中和區碧河里板南路337號4樓,新北市全29區,機構喘息服務,李沛君,,,,
98,新北市私立至傑護理之家,02-8964-1787,,,新北市板橋區廣福里和平路14巷9號、9-1號,板橋、樹林、新莊、中和、永和、三重、三峽、土城、鶯歌、泰山、林口、五股,機構喘息服務,黃惠珍,,,,
99,財團法人私立廣恩老人養護中心,"02-2217-3517
#135",,,新北市新店區北宜路二段579巷45號,新莊、三重、蘆洲、新店、土城、五股、瑞芳,機構喘息服務,李嘉偕,,,,
100,衛生福利部雙和醫院附設護理之家(委託臺北醫學大學興建經營),02-2249-0088,,,新北市中和區力行里中正路291號13~15樓,板橋、樹林、新莊、中和、永和、新店、土城,機構喘息服務,陳雅如,,,,
101,康園護理之家,02-8666-3556,135,,新北市新店區安興路91巷31號1至5樓,新北市全29區,機構喘息服務,謝濰嬣,,,,
102,百禾長照社團法人附設新北市私立百禾住宿長照機構,02-2966-1717,,,新北市板橋區新興里南雅南路一段8號2樓,新北市全29區,機構喘息服務,康巧娟,,,,
103,寶興護理之家,02-2910-9980,,,新北市新店區寶興路39號1樓、2至4樓、41號2至5樓,板橋、中和、永和、新店、深坑、烏來、平溪,機構喘息服務,廖麗如,,,,
104,新北市私立皇佳老人長期照顧中心(養護型),02-2226-1881,,,新北市中和區中原里中山路二段562號10樓,新北市全29區,機構喘息服務,黃伯超,,,,
105,新北市私立中原老人長期照顧中心(養護型),02-2226-1881,,,新北市中和區中原里中山路二段560號6樓、6樓之1,新北市全29區,機構喘息服務,黃明發,,,,
106,皇家護理之家,02-2226-1881,,,新北市中和區中原里中山路二段560號5樓、562號5樓、7樓、7樓之1、8樓,新北市全29區,機構喘息服務,林子琪,,,,
107,新北市立聯合醫院附設護理之家,"02-2257-5151
#2526",,,新北市板橋區德翠里英士路198號5樓,板橋、樹林、新莊、中和、永和、三重、蘆洲、新店、土城、泰山、林口、五股、汐止、淡水,機構喘息服務,蘇麗琪,,,,
108,新北市私立景馨護理之家,02-8992-1892,,,新北市新莊區化成路63巷41號1~2樓,新北市全29區,機構喘息服務,曾琨斐,,,,
109,財團法人中華文化社會福利事業基金會附設新北市私立翠柏新村老人安養中心,02-2645-1001,2526,,新北市汐止區長青里永春一路5號,新北市全29區,機構喘息服務,林怡璇,,,,
110,新北市私立迦順老人長期照顧中心(養護型),02-2964-5889,,,新北市板橋區鄉雲里館前西路6號8樓,新北市全29區,機構喘息服務,黃議毅,,,,
111,新北仁康醫院附設護理之家,02-2215-2345,,,新北市新店區安康路二段323~325號3樓,中和、永和、新店,機構喘息服務,邱紹玲,,,,
112,新北市私立沐心老人長期照顧中心(養護型),02-2999-0737,,,新北市三重區中興里重新路五段635之2號1~3樓,新北市全29區,機構喘息服務,林綺怡,,,,
113,太陽長照社團法人附設新北市私立林口住宿長照機構,02-2602-6928,,,新北市林口區西林里吉林街30號,新北市全29區,機構喘息服務,張詠淇,,,,
114,財團法人恆安社會福利慈善事業基金會附設新北市私立大同老人長期照顧中心(養護型),02-8648-9888,,,新北市汐止區保安里大同路三段425號3、4樓,新北市全29區,機構喘息服務,謝皓萱,,,,
115,匯安護理之家,02-2912-9020,,,新北市新店區寶興路37號3樓,板橋、中和、永和、新店、土城、深坑、烏來,機構喘息服務,洪榕薇,,,,
116,新北市私立匯安老人長期照顧中心(養護型),02-8665-6656,,,新北市新店區中正路399巷7號,新北市全29區,機構喘息服務,周雅婷,,,,
117,新北市私立匯福老人長期照顧中心(養護型),02-2217-8035,,,新北市新店區竹林路99號,新北市全29區,機構喘息服務,周雅婷,,,,
118,遠東護理之家,02-2218-6820,,,新北市新店區民權路129號2樓,新北市全29區,機構喘息服務,周燕玉,,,,
119,新北市私立皇冠老人養護中心,02-2915-7112,,,新北市新店區民權路60號4樓,新北市全29區,機構喘息服務,林建宇,,,,
120,新北市私立大坪林老人長期照顧中心(養護型),02-2911-1377,,,新北市新店區民權路58號、60號5樓,新北市全29區,機構喘息服務,楊秋香,,,,
121,新北市私立迦勒老人長期照顧中心(養護型),"02-82621968
02-82621966",,,新北市土城區延壽路9號,新北市全29區,機構喘息服務,余鳳庭,,,,
122,新北市私立迦蜜老人長期照顧中心(養護型),02-2951-1181,,,新北市板橋區廣福里廣權路10號2~3樓,新北市全29區,機構喘息服務,何沂軒,,,,
123,新北市私立廣權老人長期照顧中心(養護型),02-8951-4712,,,新北市板橋區廣福里廣權路2號5樓,新北市全29區,機構喘息服務,張嘉晏,,,,
124,廣權護理之家,02-8951-4712,,,新北市板橋區廣福里廣權路6號2、5樓,新北市全29區,機構喘息服務,張嘉晏,,,,
125,新北市私立廣福老人長期照顧中心(養護型),02-8951-4435,,,新北市板橋區廣福里廣權路2號4樓,新北市全29區,機構喘息服務,黃郁修,,,,
126,新北市私立衡安護理之家,02-8671-1558,,,新北市三峽區文化路59號5樓之1、6樓之1.2、7樓之1,板橋、樹林、中和、三峽、土城、鶯歌,機構喘息服務,陳吟倩,,,,
127,基隆市私立聯安護理之家,02-2424-1071,,,基隆市仁愛區愛五路34號3樓、6樓,汐止,機構喘息服務,周辰澔,,,,
128,基隆市私立聯安老人長期照顧中心(養護型),02-2424-1073,,,基隆市仁愛區愛五路34號7樓,汐止,機構喘息服務,周辰澔,,,,
129,八里佳醫護理之家,02-2610-4913,,,新北市八里區大崁里觀海大道185號,新北市全29區,機構喘息服務,顏嘉瑩,,,,
130,新北市私立双慈老人長期照顧中心(養護型),02-8228-6093,,,新北市中和區中原里中正路909號5樓,板橋、樹林、新莊、中和、永和、三重、蘆洲、新店、三峽、土城、鶯歌、泰山、林口、五股、汐止、淡水,機構喘息服務,黃詩涵,,,,
131,双慈護理之家,02-8228-6000,,,新北市中和區中原里中正路909號8、9樓,板橋、樹林、新莊、中和、永和、三重、蘆洲、新店、三峽、土城、鶯歌、泰山、林口、五股、汐止、淡水,機構喘息服務,黃詩涵,,,,
132,新北市私立怡和老人長期照顧中心(養護型),"02-8221-3540
02-8221-3541",,,新北市中和區平河里中正路772號5樓,新北市全29區,機構喘息服務,盧玟伶,,,,
133,財團法人台灣省私立健順養護中心,02-2662-2499,,,新北市深坑區昇高里王軍寮9號,新北市全29區,機構喘息服務,許瑞玲,,,,
134,仁禾護理之家,02-2636-5111,,,新北市三芝區古庄里四棧橋53之3號1~3樓,新北市全29區,機構喘息服務,吳禎育,,,,
135,私立三民護理之家,02-2288-5959,,,新北市蘆洲區三民路26巷51號1-2樓,新北市全29區,機構喘息服務,楊玫芳,,,,
136,新北市私立恩祥老人長期照顧中心(養護型),02-2288-6211,,,新北市蘆洲區三民路26巷51號3樓,新北市全29區,機構喘息服務,黃冠銘,,,,
137,新北市私立祐安老人長期照顧中心(養護型),02-2286-6311,,,新北市三重區福隆里自強路四段6、8號3樓,新北市全29區,機構喘息服務,黃鼎晉,,,,
138,康禾護理之家,"02-2670-3636
0915-929-311",,,新北市鶯歌區中鶯里建國路85號8樓,三峽、鶯歌,機構喘息服務,鍾沛妤,,,,
139,永康護理之家,03-396-0789,,,桃園市龜山區忠義路二段421號,新北市全29區,機構喘息服務,陳俐安,,,,
140,臺北市私立全泰老人長期照顧中心(養護型),02-2874-7739,,0915929311,台北市北投區行義路105號1~2樓,新北市全29區,機構喘息服務,陳莉茵,,,,
141,臺北市私立全家老人長期照顧中心(養護型),02-2876-1245,,,台北市北投區行義路96巷1號1~2樓,新北市全29區,機構喘息服務,陳莉茵,,,,
142,臺北市私立全寶老人長期照顧中心(養護型),02-2871-0792,,,台北市北投區石牌路二段315巷16弄2、2-1號1樓,新北市全29區,機構喘息服務,陳莉茵,,,,
143,臺北市私立義行老人長期照顧中心(養護型),02-2876-7880,,,台北市北投區石牌路二段357巷1號4-6樓,新北市全29區,機構喘息服務,張逸敏,,,,
144,臺北市私立行義老人長期照顧中心(養護型),02-2872-9599,,,台北市北投區石牌路二段357巷1號1-3樓,新北市全29區,機構喘息服務,張逸敏,,,,
145,三重中興醫院附設護理之家,02-2999-1769,,,新北市三重區中興里中興北街21號4樓,新莊、三重、蘆洲,機構喘息服務,林菡雅,,,,
146,福德護理之家,02-2219-1818,,,新北市新店區中正路500號2、3、5樓；502號3、4、5樓,板橋、中和、永和、三重、新店、深坑、石碇,機構喘息服務,郭皇均,,,,
147,新北市私立莊敬老人長期照顧中心(養護型),02-2218-5571,,,新北市新店區中正路521巷1、3號3樓,新北市全29區,機構喘息服務,井寶琳,,,,
148,和安長照社團法人附設新北市私立和安住宿長照機構,02-29813999,,,新北市三重區溪美里溪尾街35號1~4樓,新北市全29區,機構喘息服務,余明純,,,,
149,新北市私立亞恩老人長期照顧中心(養護型),02-8911-1270,,,新北市新店區民權路42巷59弄2號5樓,新店,機構喘息服務,曾雅慧,,,,
150,大慶護理之家,03-396-0036,,,桃園市龜山區文化路182巷9號,林口,機構喘息服務,黃怡淨,,,,
151,佳醫長照社團法人附設新北市私立觀海住宿長照機構,02-8630-3185,,,新北市八里區頂罟里博物館路183號1至4樓,新北市全29區,機構喘息服務,湯瑞吟,,,,
152,新北市私立闔樂老人長期照顧中心(養護型),02-2242-2502,,,新北市中和區連和里中山路二段327巷1號2樓,新北市全29區,機構喘息服務,吳若慈,,,,
153,新北市私立合樂老人長期照顧中心(養護型),02-8245-7667,,,新北市中和區連和里中山路二段327巷11弄17號3樓,新北市全29區,機構喘息服務,吳若慈,,,,
154,新北市私立和樂老人長期照顧中心(養護型),02-8245-8131,,,新北市中和區連和里中山路二段327巷11弄17號5樓,新北市全29區,機構喘息服務,吳若慈,,,,
155,新北市私立銀享家園老人長期照顧中心(養護型),02-2265-8289,,,新北市土城區日新街33巷8號1、2樓,板橋、新莊、三峽、土城、鶯歌、五股,機構喘息服務,趙偉智,,,,
156,新北市私立銀享樂園老人長期照顧中心(養護型),02-2265-8289,,,新北市土城區日新街33巷8號3、4樓,板橋、新莊、三峽、土城、鶯歌、五股,機構喘息服務,趙偉智,,,,
157,劉秀娥長照社團法人附設臺北市私立宜恩住宿長照機構,02-2518-5855,,,台北市中山區伊通街28號1-7樓,板橋、新莊、中和、永和、三重、蘆洲、新店、泰山、林口、五股,機構喘息服務,張志維,,,,
158,新北市私立溫馨園老人長期照顧中心(養護型),02-2678-2277,,,新北市鶯歌區中鶯里建國路85號4樓,新北市全29區,機構喘息服務,李季芳,,,,
159,新北市私立仁惠老人長期照顧中心(養護型),02-2636-3222,,,新北市三芝區古庄里四棧橋53之11號,新北市全29區,機構喘息服務,吳雅菱,,,,
160,新北市私立怡安老人長期照顧中心(養護型),"02-8221-3540
02-8221-3541",,,新北市中和區平河里中正路770號5樓,新北市全29區,機構喘息服務,張嘉倫,,,,
161,新北市私立慈和老人長期照顧中心(養護型),02-2221-2393,,,新北市中和區中原里中正路909號2樓,板橋、中和,機構喘息服務,宋建蘭,,,,
162,新北市私立慈安老人長期照顧中心(養護型),02-2258-8868,,,新北市中和區中原里中正路909號3樓,板橋、中和,機構喘息服務,宋建蘭,,,,
163,新北市私立慈鴻老人長期照顧中心(養護型),02-8228-2226,,,新北市中和區中原里中正路909號4樓,板橋、中和,機構喘息服務,宋建蘭,,,,
164,桃園市私立大溪老人長期照顧中心(養護型),03-387-0119,,,桃園市大溪區慈湖路85號4樓,板橋、樹林、新莊、中和、三重、三峽、土城、鶯歌、林口,機構喘息服務,謝鴻倫,,,,
165,詠林長照社團法人附設新北市私立詠林綜合長照機構,02-2620-6160,,,新北市淡水區中正東路一段111巷20號,五股、淡水、八里、三芝,機構喘息服務,王嫈筑,,,,
