"名稱","地址","行政區","電話","城市"
"景安護理之家","新北市中和區泰安里景安路42號5樓、46號4-5樓、50號3-4樓","中和區","02-2240-9359","新北市"
"新北市私立宜安老人長期照顧中心(養護型)","新北市中和區泰安里景安路48號7樓","中和區","02-2240-9359","新北市"
"新北市私立桐心老人長期照顧中心(養護型)","新北市板橋區港尾里中正路302號2樓","板橋區","02-2968-8657","新北市"
"新北市私立圓滿老人長期照顧中心(養護型)","新北市三重區中興里重新路五段639號10樓及639-1號10樓","三重區","02-2999-8867","新北市"
"新北市私立愛鄰田園老人長期照顧中心(養護型)","新北市鶯歌區永昌里建國路596巷40號","鶯歌區","02-8677-3288","新北市"
"海山護理之家","新北市板橋區長安里漢生東路163號4樓、4樓之1、5樓、5樓之1","板橋區","02-2956-2767","新北市"
"新北市私立景頤老人長期照顧中心(養護型)","新北市新莊區思源路87巷18號3樓之1","新莊區","02-2277-2203","新北市"
"新北市私立中山老人長期照顧中心(養護型)","新北市中和區中原里橋安街6號2~3樓","中和區","02-2443-8323","新北市"
"新北市私立福泰老人長期照顧中心(養護型)","新北市中和區碧河里中山路二段371號4樓","中和區","02-2223-3325","新北市"
"新北市私立寶安老人長期照顧中心(養護型)","新北市永和區上林里竹林路73號2~3樓","永和區","02-8928-1517","新北市"
"三芳護理之家","新北市板橋區崑崙里大觀路三段236號6樓","板橋區","02-2687-6363","新北市"
"新北市私立蓮愛老人養護中心","新北市三重區溪美里溪尾街41號2樓","三重區","02-2989-6770","新北市"
"新北市私立宏德老人長期照顧中心(養護型)","新北市永和區協和里永平路81巷12號2樓","永和區","02-2923-1336","新北市"
"新北市私立再芳老人長期照顧中心(養護型)","新北市五股區成泰路四段10號3樓之2","五股區","02-2292-3158","新北市"
"上和長照社團法人附設新北市私立迎和住宿長照機構","新北市板橋區忠翠里莒光路167號2樓之9","板橋區","02-8257-0118","新北市"
"新北市私立慈美老人養護中心","新北市中和區連和里中山路二段315巷2號6樓","中和區","02-2246-7727","新北市"
"新北市私立慈美護理之家","新北市中和區連和里中山路二段315巷2號4樓、317號6樓","中和區","02-2246-7725","新北市"
"詠靜護理之家","新北市深坑區萬順里北深路三段99、101、103號3-4樓、105號1、3、4樓","深坑區","02-2662-8011","新北市"
"新北市私立長勤老人長期照顧中心(養護型)","新北市三芝區埔頭里長勤街63號","三芝區","02-2636-6887","新北市"
"新北市私立捷安護理之家","新北市蘆洲區中山一路300號","蘆洲區","02-2282-9859","新北市"
"私立再生護理之家","新北市新店區寶高路6號","新店區","02-2915-0111","新北市"
"財團法人台北市私立愛愛院","台北市萬華區大理街175巷27號","萬華區","02-2306-0493","台北市"
"新北市私立一德老人長期照顧中心(養護型)","新北市中和區中原里中山路二段560號7樓","中和區","02-2228-6655","新北市"
"基隆市私立順逸老人長期照顧中心(養護型)","基隆市安樂區基金一路210巷58號","基隆市安樂區","02-2434-0239","其他"
"新北市私立保安老人長期照顧中心(養護型)","新北市樹林區保安街二段64號4樓","樹林區","02-2686-3810","新北市"
"新北市私立忠祥老人長期照顧中心(養護型)","新北市中和區連和里中山路二段327巷1號4樓","中和區","02-2247-3386","新北市"
"新北市私立連旺老人長期照顧中心(養護型)","新北市板橋區香丘里中山路一段311號、313號、315之1號","板橋區","02-8952-0509","新北市"
"元復醫院附設護理之家","新北市土城區慶樂街25號","土城區","02-2262-0582","新北市"
"新北市私立雙和老人長期照顧中心(養護型)","新北市中和區福和里中山路二段133號2樓","中和區","02-8245-8280","新北市"
"新北市私立瑞昇老人長期照顧中心(養護型)","新北市板橋區鄉雲里四川路二段16巷1號1樓","板橋區","02-8967-5498","新北市"
"新北市私立尚承護理之家","新北市五股區成泰路四段10號3樓之1","五股區","02-2291-7171","新北市"
"桃園市私立八德老人長期照顧中心(養護型)","桃園市八德區介壽路一段758巷8號","桃園市八德區","03-218-2128","其他"
"臺北市私立上美老人長期照顧中心(養護型)","台北市士林區重慶北路四段162號1-4樓","士林區","02-2812-2366","台北市"
"新北市私立安新老人長期照顧中心(養護型)","新北市三峽區民生街83號4樓、85號4樓及5樓","三峽區","02-8671-0158","新北市"
"紅樹林護理之家","新北市淡水區中正東路一段111巷22號","淡水區","02-2626-0766","新北市"
"百齡診所附設護理之家","台北市士林區重慶北路四段187號","士林區","02-2811-3113","台北市"
"新北市私立嘉宥老人長期照顧中心(養護型)","新北市樹林區中正路632巷1號2樓","樹林區","02-2688-3267","新北市"
"新北市私立健安老人長期照顧中心(養護型)","新北市新莊區雙鳳路121、123號7樓","新莊區","02-2903-1356","新北市"
"佳新護理之家","新北市新莊區復興路三段31號1~4樓及33號3~4樓","新莊區","02-8992-4278","新北市"
"新北市私立永泰老人養護中心","新北市中和區福和里中山路二段101號","中和區","02-2240-9933","新北市"
"新北市私立逢源老人長期照顧中心(養護型)","新北市中和區連和里中山路二段327巷9號3樓","中和區","02-2245-0139","新北市"
"新北市私立長恩老人長期照顧中心(養護型)","新北市新莊區中正路387、389、393號4樓","新莊區","02-2201-3158","新北市"
"三和護理之家","新北市三重區福隆里三和路四段103之2號4、6~7樓","三重區","02-2287-2000","新北市"
"佳醫護理之家","新北市汐止區茄苳里茄苳路296號","汐止區","02-8648-6672","新北市"
"新北市私立大眾老人養護中心","新北市土城區清水路114號2樓","土城區","02-2260-2532","新北市"
"新北市私立木新居護理之家","新北市土城區清水路114號3-5樓","土城區","02-2274-0855","新北市"
"新北市私立珍珍老人長期照顧中心(養護型)","新北市新莊區化成路354號3樓","新莊區","02-2998-1530","新北市"
"新北市私立永瑞老人長期照顧中心(養護型)","新北市新莊區化成路354號4樓","新莊區","02-2994-2910","新北市"
"新北市私立佳康老人長期照顧中心(養護型)","新北市新莊區雙鳳路113號4樓","新莊區","02-2908-3466","新北市"
"臺北市私立中山老人長期照顧中心(養護型)","台北市萬華區峨眉街124、124-1號1樓","萬華區","02-2375-9590","台北市"
"新北市私立佳緣老人長期照顧中心(養護型)","新北市鶯歌區西鶯里中山路41號","鶯歌區","02-2670-7278","新北市"
"新北市私立慧心老人長期照顧中心(養護型)","新北市板橋區廣福里廣權路2號2樓","板橋區","02-2956-7230","新北市"
"新北市私立心田老人長期照顧中心(養護型)","新北市板橋區廣福里廣權路2號3樓","板橋區","02-8951-1426","新北市"
"慈馨護理之家","新北市板橋區後埔里館前東路96號2樓","板橋區","02-2952-4388","新北市"
"新北市私立德馨老人長期照顧中心(養護型)","新北市汐止區仁德里和平街8號5樓","汐止區","02-2647-1288","新北市"
"新北市私立新明厚老人長期照顧中心(養護型)","新北市淡水區中正東路一段27號1樓","淡水區","02-2629-7281","新北市"
"基隆市私立志心老人長期照顧中心(養護型)","基隆市安樂區樂利三街189、193號","基隆市安樂區","02-2432-3059","其他"
"基隆市私立健安老人長期照顧中心(養護型)","基隆市中正區義二路2巷13號3樓","基隆市中正區","02-2422-9001","其他"
"基隆市私立宏安老人長期照顧中心(養護型)","基隆市七堵區東新街91號2樓","基隆市七堵區","02-2455-3517","其他"
"基隆市私立深美老人長期照顧中心(養護型)","基隆市信義區教忠街37號","基隆市信義區","02-2468-5311","其他"
"新北市私立鴻祥老人長期照顧中心(養護型)","新北市板橋區鄉雲里四川路二段16巷9號8樓","板橋區","02-8967-7439-02-8967-5401","新北市"
"新北市私立同心老人長期照顧中心(養護型)","新北市土城區中央路四段127號9-10樓、9樓之1-11樓之1","土城區","02-2267-9979","新北市"
"私立健安護理之家","新北市板橋區漢生里民權路174號","板橋區","02-2272-1166","新北市"
"新北市私立松樹老人長期照顧中心(養護型)","新北市板橋區崑崙里大觀路三段236號7樓之1","板橋區","02-2682-3334","新北市"
"新北市私立松林老人長期照顧中心(養護型)","新北市板橋區崑崙里大觀路三段236號7樓之2","板橋區","02-2682-4116","新北市"
"新北市私立松和老人長期照顧中心(養護型)","新北市板橋區崑崙里大觀路三段236號7樓","板橋區","02-2682-3337","新北市"
"松和護理之家","新北市板橋區崑崙里大觀路三段236號7樓之3","板橋區","02-2682-3337","新北市"
"景美醫院附設護理之家","台北市文山區萬慶街18號3~4樓","文山區","02-2933-2962","台北市"
"私立健生護理之家","新北市土城區中華路一段14號","土城區","02-2263-1588","新北市"
"兆興護理之家","新北市三重區中興里中興北街19巷2號","三重區","02-2999-8760","新北市"
"祥蕙護理之家","新北市板橋區和平里廣和街100號、100號2樓至5樓、102號","板橋區","02-2964-6585","新北市"
"新北市私立祥逸老人長期照顧中心(養護型)","新北市中和區福善里景平路726-8號、726-6號2樓之1~3","中和區","02-8245-3559","新北市"
"財團法人豐榮護理之家","新北市新店區安德街60巷26號、28號、30號及26號2樓、3樓、3樓之1","新店區","02-2212-2345","新北市"
"新北市私立安濟老人長期照顧中心(養護型)","新北市汐止區環河里福德一路351巷11弄18號2樓","汐止區","02-2695-1800","新北市"
"新北市私立大德老人長期照顧中心(養護型)","新北市三重區福隆里三和路四段103-1號4樓","三重區","02-2287-0555","新北市"
"私立大愛護理之家","新北市三重區福隆里三和路四段103-1號1~3樓","三重區","02-2287-0889","新北市"
"新北市私立崇惠老人長期照顧中心(養護型)","新北市淡水區淡金路16巷117號","淡水區","02-8626-8833","新北市"
"新北市私立永順老人養護中心","新北市中和區平河里建康路2號5樓","中和區","02-3234-0828","新北市"
"新北市私立智英老人長期照護中心","新北市新莊區中正路544之36號1樓","新莊區","02-2908-5498","新北市"
"新北市私立中英老人養護中心","新北市新莊區中正路544之36號2樓","新莊區","02-2908-5498","新北市"
"新北市私立傅英老人長期照顧中心(養護型)","新北市新莊區中正路544之36號3樓","新莊區","02-2908-5498","新北市"
"新北市私立仁英老人養護中心","新北市新莊區中正路544之36號4樓","新莊區","02-2908-5498","新北市"
"鴻欣護理之家","新北市三峽區三樹路168巷48號","三峽區","02-2674-0396","新北市"
"宏十字護理之家","新北市深坑區萬順里北深路三段99、101、103、105號7-8樓","深坑區","02-2662-6893","新北市"
"財團法人新北市私立馨園老人養護中心","新北市萬里區磺潭里公舘崙23之1號","萬里區","02-2498-9331","新北市"
"同仁醫院附設土城護理之家","新北市土城區中央路四段127號1~8樓、2樓之1~8樓之1","土城區","02-2267-3230","新北市"
"天主教耕莘醫療財團法人附設耕莘護理之家","新北市新店區中正路362號C棟1-2樓","新店區","02-2219-3391-#65332","新北市"
"新北市私立老吾老護理之家","新北市新莊區新樹路315巷1號1~3樓","新莊區","02-2202-0118","新北市"
"新北市私立家安老人長期照顧中心(養護型)","新北市新莊區思源路119號2樓、117號(2層)、119號2樓、121號2樓、123號2樓","新莊區","02-8992-0125","新北市"
"新北市私立好家園老人長期照顧中心(養護型)","新北市汐止區興福里福德路38號2樓","汐止區","02-2692-6777","新北市"
"新北市私立美麗家園老人長期照顧中心(養護型)","新北市汐止區興福里福德路38號7樓","汐止區","02-2692-1238","新北市"
"新北市私立幸福家園老人長期照顧中心(養護型)","新北市汐止區興福里福德路38號12樓","汐止區","02-2693-4325","新北市"
"新北市私立安怡老人長期照顧中心(養護型)","新北市中和區碧河里建一路87號3樓","中和區","02-2228-7623","新北市"
"溫昕護理之家","新北市新店區中正路539-3號3~5樓","新店區","02-2219-0259","新北市"
"桃園市私立松林老人長期照顧中心(長期照護型)","桃園市龜山區復興北路6巷42號","桃園市龜山區","03-328-8001","其他"
"松林護理之家","桃園市龜山區復興北路6巷46號","桃園市龜山區","03-318-0999","其他"
"新北市私立連城老人長期照顧中心(養護型)","新北市中和區碧河里板南路337號4樓","中和區","02-2247-9996","新北市"
"新北市私立至傑護理之家","新北市板橋區廣福里和平路14巷9號、9-1號","板橋區","02-8964-1787","新北市"
"財團法人私立廣恩老人養護中心","新北市新店區北宜路二段579巷45號","新店區","02-2217-3517-#135","新北市"
"衛生福利部雙和醫院附設護理之家(委託臺北醫學大學興建經營)","新北市中和區力行里中正路291號13~15樓","中和區","02-2249-0088","新北市"
"康園護理之家","新北市新店區安興路91巷31號1至5樓","新店區","02-8666-3556","新北市"
"百禾長照社團法人附設新北市私立百禾住宿長照機構","新北市板橋區新興里南雅南路一段8號2樓","板橋區","02-2966-1717","新北市"
"寶興護理之家","新北市新店區寶興路39號1樓、2至4樓、41號2至5樓","新店區","02-2910-9980","新北市"
"新北市私立皇佳老人長期照顧中心(養護型)","新北市中和區中原里中山路二段562號10樓","中和區","02-2226-1881","新北市"
"新北市私立中原老人長期照顧中心(養護型)","新北市中和區中原里中山路二段560號6樓、6樓之1","中和區","02-2226-1881","新北市"
"皇家護理之家","新北市中和區中原里中山路二段560號5樓、562號5樓、7樓、7樓之1、8樓","中和區","02-2226-1881","新北市"
"新北市立聯合醫院附設護理之家","新北市板橋區德翠里英士路198號5樓","板橋區","02-2257-5151-#2526","新北市"
"新北市私立景馨護理之家","新北市新莊區化成路63巷41號1~2樓","新莊區","02-8992-1892","新北市"
"財團法人中華文化社會福利事業基金會附設新北市私立翠柏新村老人安養中心","新北市汐止區長青里永春一路5號","汐止區","02-2645-1001","新北市"
"新北市私立迦順老人長期照顧中心(養護型)","新北市板橋區鄉雲里館前西路6號8樓","板橋區","02-2964-5889","新北市"
"新北仁康醫院附設護理之家","新北市新店區安康路二段323~325號3樓","新店區","02-2215-2345","新北市"
"新北市私立沐心老人長期照顧中心(養護型)","新北市三重區中興里重新路五段635之2號1~3樓","三重區","02-2999-0737","新北市"
"太陽長照社團法人附設新北市私立林口住宿長照機構","新北市林口區西林里吉林街30號","林口區","02-2602-6928","新北市"
"財團法人恆安社會福利慈善事業基金會附設新北市私立大同老人長期照顧中心(養護型)","新北市汐止區保安里大同路三段425號3、4樓","汐止區","02-8648-9888","新北市"
"匯安護理之家","新北市新店區寶興路37號3樓","新店區","02-2912-9020","新北市"
"新北市私立匯安老人長期照顧中心(養護型)","新北市新店區中正路399巷7號","新店區","02-8665-6656","新北市"
"新北市私立匯福老人長期照顧中心(養護型)","新北市新店區竹林路99號","新店區","02-2217-8035","新北市"
"遠東護理之家","新北市新店區民權路129號2樓","新店區","02-2218-6820","新北市"
"新北市私立皇冠老人養護中心","新北市新店區民權路60號4樓","新店區","02-2915-7112","新北市"
"新北市私立大坪林老人長期照顧中心(養護型)","新北市新店區民權路58號、60號5樓","新店區","02-2911-1377","新北市"
"新北市私立迦勒老人長期照顧中心(養護型)","新北市土城區延壽路9號","土城區","02-82621968-02-82621966","新北市"
"新北市私立迦蜜老人長期照顧中心(養護型)","新北市板橋區廣福里廣權路10號2~3樓","板橋區","02-2951-1181","新北市"
"新北市私立廣權老人長期照顧中心(養護型)","新北市板橋區廣福里廣權路2號5樓","板橋區","02-8951-4712","新北市"
"廣權護理之家","新北市板橋區廣福里廣權路6號2、5樓","板橋區","02-8951-4712","新北市"
"新北市私立廣福老人長期照顧中心(養護型)","新北市板橋區廣福里廣權路2號4樓","板橋區","02-8951-4435","新北市"
"新北市私立衡安護理之家","新北市三峽區文化路59號5樓之1、6樓之1.2、7樓之1","三峽區","02-8671-1558","新北市"
"基隆市私立聯安護理之家","基隆市仁愛區愛五路34號3樓、6樓","基隆市仁愛區","02-2424-1071","其他"
"基隆市私立聯安老人長期照顧中心(養護型)","基隆市仁愛區愛五路34號7樓","基隆市仁愛區","02-2424-1073","其他"
"八里佳醫護理之家","新北市八里區大崁里觀海大道185號","八里區","02-2610-4913","新北市"
"新北市私立双慈老人長期照顧中心(養護型)","新北市中和區中原里中正路909號5樓","中和區","02-8228-6093","新北市"
"双慈護理之家","新北市中和區中原里中正路909號8、9樓","中和區","02-8228-6000","新北市"
"新北市私立怡和老人長期照顧中心(養護型)","新北市中和區平河里中正路772號5樓","中和區","02-8221-3540-02-8221-3541","新北市"
"財團法人台灣省私立健順養護中心","新北市深坑區昇高里王軍寮9號","深坑區","02-2662-2499","新北市"
"仁禾護理之家","新北市三芝區古庄里四棧橋53之3號1~3樓","三芝區","02-2636-5111","新北市"
"私立三民護理之家","新北市蘆洲區三民路26巷51號1-2樓","蘆洲區","02-2288-5959","新北市"
"新北市私立恩祥老人長期照顧中心(養護型)","新北市蘆洲區三民路26巷51號3樓","蘆洲區","02-2288-6211","新北市"
