"名稱","地址","行政區","電話","城市"
"新北市私立祐安老人長期照顧中心(養護型)","新北市三重區福隆里自強路四段6、8號3樓","三重區","02-2286-6311","新北市"
"康禾護理之家","新北市鶯歌區中鶯里建國路85號8樓","鶯歌區","02-2670-3636-0915-929-311","新北市"
"永康護理之家","桃園市龜山區忠義路二段421號","桃園市龜山區","03-396-0789","其他"
"臺北市私立全泰老人長期照顧中心(養護型)","台北市北投區行義路105號1~2樓","北投區","02-2874-7739","台北市"
"臺北市私立全家老人長期照顧中心(養護型)","台北市北投區行義路96巷1號1~2樓","北投區","02-2876-1245","台北市"
"臺北市私立全寶老人長期照顧中心(養護型)","台北市北投區石牌路二段315巷16弄2、2-1號1樓","北投區","02-2871-0792","台北市"
"臺北市私立義行老人長期照顧中心(養護型)","台北市北投區石牌路二段357巷1號4-6樓","北投區","02-2876-7880","台北市"
"臺北市私立行義老人長期照顧中心(養護型)","台北市北投區石牌路二段357巷1號1-3樓","北投區","02-2872-9599","台北市"
"三重中興醫院附設護理之家","新北市三重區中興里中興北街21號4樓","三重區","02-2999-1769","新北市"
"福德護理之家","新北市新店區中正路500號2、3、5樓；502號3、4、5樓","新店區","02-2219-1818","新北市"
"新北市私立莊敬老人長期照顧中心(養護型)","新北市新店區中正路521巷1、3號3樓","新店區","02-2218-5571","新北市"
"和安長照社團法人附設新北市私立和安住宿長照機構","新北市三重區溪美里溪尾街35號1~4樓","三重區","02-29813999","新北市"
"新北市私立亞恩老人長期照顧中心(養護型)","新北市新店區民權路42巷59弄2號5樓","新店區","02-8911-1270","新北市"
"大慶護理之家","桃園市龜山區文化路182巷9號","桃園市龜山區","03-396-0036","其他"
"佳醫長照社團法人附設新北市私立觀海住宿長照機構","新北市八里區頂罟里博物館路183號1至4樓","八里區","02-8630-3185","新北市"
"新北市私立闔樂老人長期照顧中心(養護型)","新北市中和區連和里中山路二段327巷1號2樓","中和區","02-2242-2502","新北市"
"新北市私立合樂老人長期照顧中心(養護型)","新北市中和區連和里中山路二段327巷11弄17號3樓","中和區","02-8245-7667","新北市"
"新北市私立和樂老人長期照顧中心(養護型)","新北市中和區連和里中山路二段327巷11弄17號5樓","中和區","02-8245-8131","新北市"
"新北市私立銀享家園老人長期照顧中心(養護型)","新北市土城區日新街33巷8號1、2樓","土城區","02-2265-8289","新北市"
"新北市私立銀享樂園老人長期照顧中心(養護型)","新北市土城區日新街33巷8號3、4樓","土城區","02-2265-8289","新北市"
"劉秀娥長照社團法人附設臺北市私立宜恩住宿長照機構","台北市中山區伊通街28號1-7樓","中山區","02-2518-5855","台北市"
"新北市私立溫馨園老人長期照顧中心(養護型)","新北市鶯歌區中鶯里建國路85號4樓","鶯歌區","02-2678-2277","新北市"
"新北市私立仁惠老人長期照顧中心(養護型)","新北市三芝區古庄里四棧橋53之11號","三芝區","02-2636-3222","新北市"
"新北市私立怡安老人長期照顧中心(養護型)","新北市中和區平河里中正路770號5樓","中和區","02-8221-3540-02-8221-3541","新北市"
"新北市私立慈和老人長期照顧中心(養護型)","新北市中和區中原里中正路909號2樓","中和區","02-2221-2393","新北市"
"新北市私立慈安老人長期照顧中心(養護型)","新北市中和區中原里中正路909號3樓","中和區","02-2258-8868","新北市"
"新北市私立慈鴻老人長期照顧中心(養護型)","新北市中和區中原里中正路909號4樓","中和區","02-8228-2226","新北市"
"桃園市私立大溪老人長期照顧中心(養護型)","桃園市大溪區慈湖路85號4樓","桃園市大溪區","03-387-0119","其他"
"詠林長照社團法人附設新北市私立詠林綜合長照機構","新北市淡水區中正東路一段111巷20號","淡水區","02-2620-6160","新北市"
"臺北市政府社會局老人自費安養中心","臺北市文山區忠順里009鄰興隆路4段109巷30弄6號","文山區","(02)29393146","台北市"
"臺北市立浩然敬老院","臺北市北投區關渡里016鄰知行路75號","北投區","(02)28581081","台北市"
"臺北市私立上美老人長期照顧中心(養護型)","臺北市士林區重慶北路4段162號1-4樓","士林區","(02)28122366","台北市"
"臺北市私立璞園老人長期照顧中心(養護型)","臺北市士林區富光里010鄰葫蘆街33號4、5、6樓","士林區","(02)28163696","台北市"
"臺北市私立祐心老人長期照顧中心(養護型)","臺北市士林區名山里 009鄰至誠路1段305巷3弄14號1-2樓","士林區","(02)28310432","台北市"
"臺北市私立永青老人長期照顧中心(養護型)","臺北市士林區天壽里003鄰中山北路6段427巷8號1-4樓","士林區","(02)28761908","台北市"
"臺北市私立祇福老人養護所","臺北市士林區三玉里016鄰忠誠路2段10巷11、13號1-2樓","士林區","(02)28317713","台北市"
"臺北市私立荷園老人長期照顧中心(養護型)","臺北市士林區富光里010鄰葫蘆街33號2-3樓","士林區","(02)28163696","台北市"
"臺北市私立柏安老人養護所","臺北市士林區蘭雅里 024鄰 中山北路6段290巷52、54號1樓","士林區","(02)28333536","台北市"
"臺北市私立松園老人長期照顧中心(養護型)","臺北市士林區蘭雅里 020鄰德行東路61巷1、2、3號1-2樓","士林區","(02)88662097","台北市"
"臺北市私立天玉老人長期照顧中心(長期照護型)","臺北市士林區天玉街38巷18弄18號1-6樓","士林區","(02)28720239","台北市"
"臺北市私立慧光老人養護所","臺北市大同區星明里 014鄰寧夏路32 號5樓","大同區","(02)25582275","台北市"
"臺北市私立敦煌老人長期照顧中心(養護型)","臺北市大同區重慶里014鄰敦煌路80巷3號及3-1號1樓","大同區","(02)25945133","台北市"
"臺北市私立祥安尊榮老人長期照顧中心(養護型)","臺北市大同區國順里008鄰延平北路3段4號2樓","大同區","(02)25860098","台北市"
"臺北市私立永安老人養護所","臺北市大同區老師里008鄰重慶北路3段284號2-4樓、286號1-4樓","大同區","(02)25980197","台北市"
"臺北市私立德寶老人養護所","臺北市大同區建明里002鄰長安西路78巷4弄11號1-4樓","大同區","(02)25522062","台北市"
"臺北市私立仁家老人長期照顧中心(養護型)","臺北市大同區延平里001鄰甘州街55號5-6樓","大同區","(02)25530799","台北市"
"臺北市私立建順老人長期照顧中心(養護型)","臺北市大同區延平里001鄰甘州街55號3樓","大同區","(02)25520199","台北市"
"臺北市私立建興老人長期照顧中心(養護型)","臺北市大同區延平里001鄰甘州街55號2樓","大同區","(02)25520199","台北市"
"臺北市私立晉安老人長期照顧中心(養護型)","臺北市大同區至聖里032鄰重慶北路3段175、177號1-4樓","大同區","(02)25982301","台北市"
"臺北市私立祥寶尊榮老人長期照顧中心(養護型)","臺北市大同區建泰里019鄰太原路97巷4、6號","大同區","(02)25501118","台北市"
"臺北市私立天恩老人長期照顧中心(養護型)","臺北市大安區龍門里008鄰新生南路3段7-4號、9-4號、9-5號","大安區","(02)23620457","台北市"
"臺北市私立新常安老人長期照顧中心(養護型)","臺北市大安區黎孝里006鄰安居街46巷14號1-3樓及芳和里013鄰和平東路3段228巷39號2樓","大安區","(02)23775448","台北市"
"臺北市私立健全老人長期照顧中心(養護型)","臺北市大安區錦華里001鄰金山南路2段152號2、3、5、6樓","大安區","(02)23943265","台北市"
"臺北市私立嘉恩老人長期照顧中心(養護型)","臺北市大安區黎孝里008鄰安居街27號4、6樓及29號4、5樓","大安區","(02)27371330","台北市"
"臺北市私立康寧老人長期照顧中心(養護型)","臺北市大安區光信里020鄰仁愛路4段300巷20弄15號2樓、17號2樓","大安區","(02)27053835","台北市"
"臺北市私立上上老人養護所","臺北市大安區仁慈里009鄰復興南路1段279巷14、16號1樓","大安區","(02)27032223","台北市"
"臺北市私立晨欣老人長期照顧中心(養護型)","臺北市中山區集英里006鄰中山北路2段96巷19號3樓","中山區","(02)25212226","台北市"
"臺北市私立松湛園老人養護所","臺北市中山區聚盛里003鄰錦州街4巷1號2樓、2樓之1","中山區","(02)25652281","台北市"
"臺北市私立松青園老人養護所","臺北市中山區民安里021鄰民生西路30號2樓、2樓之1-4","中山區","(02)25110903","台北市"
"臺北市私立法泉老人長期照顧中心(養護型)","臺北市中山區朱崙里012鄰八德路2段251號2樓","中山區","(02)87731706","台北市"
"臺北市私立龍江老人長期照顧中心(養護型)","臺北市中山區力行里007鄰長安東路1段63號4樓","中山區","(02)25672208","台北市"
"臺北市私立仁群老人長期照顧中心(養護型)","臺北市中山區下埤里019鄰民族東路512巷14號1-2樓、16號2樓","中山區","(02)25013369","台北市"
"臺北市私立群仁老人長期照顧中心(養護型)","臺北市中山區下埤里019鄰民族東路512巷14號3-5樓","中山區","(02)25010048","台北市"
"臺北市私立福成老人長期照顧中心(養護型)","臺北市中山區新福里004鄰松江路374、380、382號4樓","中山區","(02)25982507","台北市"
"臺北市私立福喜老人長期照顧中心(養護型)","臺北市中山區松江路374、380、382號7樓","中山區","(02)25919087","台北市"
"臺北市私立仁泰老人長期照顧中心(養護型)","臺北市中正區三愛里001鄰連雲街3號1、3樓、3之4號及三愛里001鄰新生南路1段124之3號5樓","中正區","(02)33931662","台北市"
"臺北市私立博愛老人長期照顧中心(養護型)","臺北市中正區富水里001鄰汀州路3段56號2樓","中正區","(02)23671050","台北市"
"臺北市私立明德老人長期照顧中心(養護型)","臺北市中正區永昌里014鄰詔安街220巷2、4號1樓","中正區","(02)23090381","台北市"
"臺北市私立大園老人長期照顧中心(養護型)","臺北市中正區三愛里001鄰新生南路1段124之3號1-4樓","中正區","(02)33931661","台北市"
"臺北市私立銀髮族老人養護所","臺北市內湖區成功路2段488號2-5樓、490號2樓、4樓","內湖區","(02)27926006","台北市"
"臺北市私立童音老人長期照顧中心(養護型)","臺北市內湖區葫洲里004鄰民權東路6段280巷19弄1、3、5、7號1樓","內湖區","(02)26345131","台北市"
"臺北市私立湖濱老人長期照顧中心(養護型)","臺北市內湖區湖濱里010鄰內湖路2段179巷58、60號1樓","內湖區","(02)27933081","台北市"
"臺北市私立瑞安老人長期照顧中(養護型)","臺北市內湖區紫陽里002鄰成功路3段88、90、92號2樓、76巷9號2樓","內湖區","(02)27925292","台北市"
"臺北市私立祥家老人養護所","臺北市內湖區湖濱里026鄰內湖路2段253巷1弄1、3號1-2樓","內湖區","(02)27922281","台北市"
"臺北市私立文德老人長期照顧中心(養護型)","臺北市內湖區紫陽里011鄰陽光街70-2、70-3、72、72-1號1樓","內湖區","(02)26581303","台北市"
"臺北市私立景安老人長期照顧中心(養護型)","臺北市文山區景慶里001鄰溪口街1巷5號1-2樓","文山區","(02)29325698","台北市"
"臺北市私立心慈老人養護所","臺北市文山區興業里022鄰辛亥路5段120-1號1-4樓","文山區","(02)29314730","台北市"
"臺北市私立慧誠老人長期照顧中心(養護型)","臺北市文山區木柵里025鄰木柵路2段163、165號1-5樓","文山區","(02)29392222","台北市"
"臺北市私立蓮馨老人長期照顧中心(養護型)","臺北市文山區萬和街6號8樓","文山區","(02)82300373","台北市"
"臺北市私立慈安老人長期照顧中心(養護型)","臺北市文山區萬有里001鄰興隆路1段2、4號1~4樓","文山區","(02)29337745","台北市"
"臺北市私立美安老人長期照顧中心(養護型)","臺北市文山區景慶里001鄰溪口街1巷5號3-4樓","文山區","(02)29316388","台北市"
"臺北市私立景興老人長期照顧中心(養護型)","臺北市文山區景行里021鄰景興路222號3樓","文山區","(02)29349412","台北市"
"臺北市私立三園老人長期照顧中心(養護型)","臺北市文山區景行里002鄰車前路12號3-4樓","文山區","(02)29321147","台北市"
"臺北市私立吉祥老人長期照顧中心(養護型)","臺北市文山區木柵里004鄰木柵路3段85巷8弄4-1、4-2號1樓及2、2-1、2-2、4、4-1、4-2號2樓","文山區","(02)22343511","台北市"
"臺北市私立慧華老人長期照顧中心(養護型)","臺北市文山區興隆路2段154巷11號1樓","文山區","(02)29356272","台北市"
"臺北市私立萬芳老人長期照顧中心(養護型)","臺北市文山區萬和街8號3樓","文山區","(02)22303000","台北市"
"臺北市私立尊暉老人長期照顧中心(養護型)","臺北市北投區石牌路2段343巷17號1-2樓","北投區","(02)28761997","台北市"
"臺北市私立賢暉老人長期照顧中心(養護型)","臺北市北投區石牌路2段315巷34弄14、16號1樓","北投區","(02)28710770","台北市"
"臺北市私立高德老人長期照顧中心(養護型)","臺北市北投區磺港路156號1-3樓","北投區","(02)28982418","台北市"
"臺北市私立陽明山老人長期照顧中心(養護型)","臺北市北投區湖山里006鄰紗帽路116號","北投區","(02)28615006","台北市"
"臺北市私立全家老人長期照顧中心(養護型)","臺北市北投區永和里007鄰行義路96巷1號1-2樓","北投區","(02)28761692","台北市"
"臺北市私立倚青園老人長期照顧中心(養護型)","臺北市北投區永明里008鄰義理街63巷4弄7、11之1-3號1樓","北投區","(02)28283533","台北市"
"臺北市私立榮健老人長期照顧中心(養護型)","臺北市北投區建民里016鄰文林北路94巷5弄13號1-2樓、15號2樓","北投區","(02)28216113","台北市"
"臺北市私立全寶老人長期照顧中心(養護型)","臺北市北投區永欣里014鄰石牌路2段315巷16弄2、2-1號1樓","北投區","(02)28710793","台北市"
"臺北市私立義行老人長期照顧中心(養護型)","臺北市北投區永和里001鄰石牌路2段357巷1號4-6樓","北投區","(02)28767880","台北市"
"臺北市私立建民老人長期照顧中心(養護型)","臺北市北投區文林里019鄰建民路22、24、26、26之1號1樓","北投區","(02)28250799","台北市"
"臺北市私立榮祥老人長期照顧中心(養護型)","臺北市北投區文林里019鄰文林北路166巷5弄2號1-2樓、4號1樓","北投區","(02)28213709","台北市"
"臺北市私立北投老人長期照顧中心(養護型)","臺北市北投區公館路231巷20號1樓","北投區","(02)28937412","台北市"
"臺北市私立全泰老人長期照顧中心(養護型)","臺北市北投區永和里006鄰行義路105號1-2樓","北投區","(02)28747739","台北市"
"臺北市私立崇順老人養護所","臺北市北投區關渡里013鄰知行路52巷1號、54號1-2樓","北投區","(02)28581979","台北市"
"臺北市私立聖心老人養護所","臺北市北投區稻香路321號1樓","北投區","(02)28913890","台北市"
"臺北市私立天下知老人長期照顧中心(養護型)","臺北市北投區關渡里003鄰關渡路60、62之1號1樓","北投區","(02)28582701","台北市"
"臺北市私立怡靜老人長期照顧中心(養護型)","臺北市北投區吉利里002鄰致遠二路96巷3弄1、3號1樓","北投區","(02)28200437","台北市"
"臺北市私立貴族老人長期照顧中心(養護型)","臺北市北投區大同里013鄰大業路452巷2號2-5樓","北投區","(02)28965555","台北市"
"臺北市私立行義老人長期照顧中心(養護型)","臺北市北投區永和里001鄰石牌路2段357巷1號1-3樓","北投區","(02)28729599","台北市"
"臺北市私立豪門老人長期照顧中心(養護型)","臺北市北投區大同里013鄰大業路452巷2號6-9樓","北投區","(02)28954492","台北市"
"臺北市私立奇里岸老人長期照顧中心(養護型)","臺北市北投區立農里013鄰西安街2段245號1-2樓","北投區","(02)28275139","台北市"
"財團法人台灣基督教道生院附設臺北市私立道生院老人長期照顧中心(養護型)","臺北市北投區秀山里002鄰中和街錫安巷112號1-2樓及地下1樓","北投區","(02)28936161","台北市"
"臺北市私立同德老人長期照顧中心(養護型)","臺北市北投區榮華里004鄰明德路306號1-7樓","北投區","(02)28281328","台北市"
"臺北市私立群英老人長期照顧中心(養護型)","臺北市松山區仁愛里013鄰敦化南路1段7號4樓","松山區","(02)25791400","台北市"
"臺北市私立台大老人長期照顧中心(養護型)","臺北市松山區仁愛里013鄰敦化南路1段7號4樓之1","松山區","(02)25792816","台北市"
"臺北市私立仁仁老人長期照顧中心(養護型)","臺北市松山區新聚里003鄰南京東路5段356號2樓","松山區","(02)27659900","台北市"
"臺北市私立康壯老人長期照顧中心(養護型)","臺北市松山區吉祥里001鄰八德路4段203、205號1、2樓","松山區","(02)27686697","台北市"
"臺北市私立倚青苑老人養護所","臺北市信義區永春里002鄰中坡北路21號1-2樓、23號2樓","信義區","(02)27477232","台北市"
"臺北市私立康庭老人養護所","臺北市信義區安康里017鄰信義路6段15巷16號1樓","信義區","(02)23460684","台北市"
"臺北市私立福安老人長期照顧中心(養護型)","臺北市南港區萬福里007鄰玉成街140巷21、23號2樓","南港區","(02)27850584","台北市"
"臺北市私立葉媽媽老人長期照顧中心(養護型)","臺北市萬華區錦德里012鄰西園路2段243之13號1-4樓","萬華區","(02)23329986","台北市"
"財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟失智老人養護中心","臺北市萬華區保德里001鄰德昌街125巷11號1-4樓、13號1樓","萬華區","(02)23046715","台北市"
"臺北市私立葉爸爸老人長期照顧中心(養護型)","臺北市萬華區錦德里012鄰西園路2段243之14號1-4樓","萬華區","(02)23329985","台北市"
"臺北市私立中山老人長期照顧中心(養護型)","臺北市萬華區菜園里001鄰峨眉街124號、124之1號1樓","萬華區","(02)23759590","台北市"
"財團法人臺北市私立愛愛院","臺北市萬華區糖廍里006鄰大理街175巷27號","萬華區","(02)23060493","台北市"
"臺北市私立軒儀老人長期照顧中心(養護型)","臺北市萬華區華江里028鄰和平西路3段384號1樓","萬華區","(02)23088661","台北市"
